main_id,ra,dec,plx_value
"""TYC 8411-581-1""",310.51082459435,-46.96453945095001,0.8903
"""UCAC3 87-420610""",310.23827399037,-46.91357232817,0.3165
"""TYC 8411-354-1""",310.22023070212,-47.02573414393,0.5835
"""TYC 8411-547-1""",310.01797123587,-46.96224449799,2.1518
"""TYC 8407-1560-1""",310.18086706379,-46.85991344604,0.5464
"""HD 196639""",310.09438568293,-46.82655011593,2.0452
"""HD 196801""",310.36214270392,-46.858545335719995,5.3832
"""Gaia DR3 6482361944779540352""",310.30255153673,-46.8063210314,0.6056
"""UCAC2  11900905""",310.35322617965,-46.68822614119,1.6156
"""TYC 8407-779-1""",310.18699854302,-46.823859459930006,2.9407
"""Gaia DR3 6482364727918346880""",310.2242878514,-46.80977739646,2.9272
"""TYC 8407-621-1""",310.40049812578,-46.69248145537,4.4925
"""Gaia DR2 6482305873981264512""",309.8838960070145,-47.436864023213886,1.5791
"""Gaia DR2 6674506240297138944""",309.4278202752241,-46.83342754571472,2.0995
"""Gaia DR2 6674655709454675968""",308.2672031573892,-46.844313792585275,0.6202
"""Gaia DR2 6674448760750678912""",308.71941547068707,-47.007652283613055,0.9777
"""Gaia DR2 6674448760749587968""",308.7191862763092,-47.008044731432776,0.9831
"""Gaia DR2 6482218668965427456""",309.25829521286755,-47.63269733750528,3.6716
"""UCAC4 218-192614""",309.6472936992917,-46.51052813894056,15.0454
"""UCAC4 215-190504""",309.7165553285075,-47.191824108735,0.9983
"""UCAC4 218-192630""",309.7191260521962,-46.51406331607111,0.7249
"""UCAC4 214-186867""",309.73513031007786,-47.298224375320274,1.2179
"""UCAC4 217-187375""",309.74902856120417,-46.707328799920006,0.5977
"""UCAC4 213-199091""",309.8160422515383,-47.593771147851115,0.0449
"""Gaia DR2 6482305873981264384""",309.88442318528706,-47.43705609204805,0.675
"""TYC 8411-485-1""",310.3712287751,-47.13595674433,1.5192
"""UCAC4 213-198979""",309.12420478565787,-47.538254602394716,0.1948
"""UCAC4 213-198999""",309.2048010739221,-47.491917898145836,0.4101
"""UCAC4 216-192873""",309.34734844548166,-46.94049705101944,0.9679
"""UCAC4 218-192677""",309.95989972603786,-46.554519828141665,0.9417
"""Gaia DR3 6668331245556482560""",308.47271164175993,-48.064145115829994,1.3433
"""TYC 8410-1314-1""",308.4848813479899,-48.07722267156001,0.9668
"""TYC 8410-235-1""",308.39078224439993,-47.99753533067,0.2449
"""TYC 8410-709-1""",308.31710227505,-47.95992708745,0.7217
"""CD-48 13598""",308.1227357325299,-47.65239930196001,5.6541
"""TYC 8410-983-1""",308.04335055202995,-47.54781856456,5.8249
"""UCAC2  11445470""",308.01559200488,-47.50885995902,2.8712
"""TYC 8410-1200-1""",308.51463682402994,-48.01693308737,1.8471
"""HD 195570""",308.52298181098996,-47.889657002060005,6.1571
"""TYC 8410-651-1""",308.64591471987,-47.90242942764,1.73
"""CD-48 13613""",308.73367538025,-47.85414675297999,0.4696
